score: ,70,epsilon: ,0.9609262915438603
score: ,70,epsilon: ,0.9604709422448996
score: ,70,epsilon: ,0.9600158205636791
score: ,70,epsilon: ,0.9595609263864187
score: ,60,epsilon: ,0.9591062595993943
score: ,60,epsilon: ,0.9586518200889397
score: ,60,epsilon: ,0.9581976077414449
score: ,60,epsilon: ,0.9577436224433568
score: ,60,epsilon: ,0.957289864081179
score: ,50,epsilon: ,0.9568363325414718
score: ,50,epsilon: ,0.9563830277108525
score: ,40,epsilon: ,0.9559299494759951
score: ,40,epsilon: ,0.9554770977236295
score: ,80,epsilon: ,0.9550244723405431
score: ,130,epsilon: ,0.9545720732135796
score: ,170,epsilon: ,0.9541199002296391
score: ,170,epsilon: ,0.9536679532756783
score: ,170,epsilon: ,0.9532162322387105
score: ,160,epsilon: ,0.9527647370058057
score: ,160,epsilon: ,0.9523134674640896
score: ,160,epsilon: ,0.951862423500745
score: ,160,epsilon: ,0.9514116050030111
score: ,200,epsilon: ,0.9509610118581833
score: ,200,epsilon: ,0.950510643953613
score: ,240,epsilon: ,0.9500605011767084
score: ,240,epsilon: ,0.9496105834149338
score: ,290,epsilon: ,0.9491608905558097
score: ,0,epsilon: ,0.948711422486913
score: ,0,epsilon: ,0.9482621790958765
score: ,50,epsilon: ,0.9478131602703894
score: ,40,epsilon: ,0.9473643658981972
score: ,90,epsilon: ,0.9469157958671011
score: ,80,epsilon: ,0.9464674500649586
score: ,80,epsilon: ,0.9460193283796833
score: ,70,epsilon: ,0.9455714306992448
score: ,70,epsilon: ,0.9451237569116685
score: ,70,epsilon: ,0.9446763069050362
score: ,70,epsilon: ,0.9442290805674853
score: ,70,epsilon: ,0.9437820777872092
score: ,60,epsilon: ,0.9433352984524572
score: ,60,epsilon: ,0.9428887424515344
score: ,60,epsilon: ,0.942442409672802
